specimen	group	lane	smrtcell
5980	5980	hifi_reads	m84053_230919_202201_s2.hifi_reads.bc2023
5980	5980	hifi_reads	m84139_230913_161502_s4.hifi_reads.bc2023
899	899	hifi_reads	m84053_230911_203330_s4.hifi_reads.bc2019
899	899	hifi_reads	m84053_230908_185731_s4.hifi_reads.bc2019
898	898	hifi_reads	m84053_230801_204324_s3.hifi_reads.bc2089
898	898	hifi_reads	m84053_230630_233200_s3.hifi_reads.bc2070
TSC6830	TSC6830	hifi_reads	m84053_241017_190037_s1.hifi_reads.bc2017
TSC6830	TSC6830	hifi_reads	m84053_241017_205952_s2.hifi_reads.bc2017
5621	5621	hifi_reads	m84053_230911_220606_s3.hifi_reads.bc2022
5621	5621	hifi_reads	m84053_230919_195135_s1.hifi_reads.bc2022
5621	5621	hifi_reads	m84053_230908_203048_s3.hifi_reads.bc2022
0EL2	0EL2	hifi_reads	m84053_241023_042330_s1.hifi_reads.bc2025
0EL2	0EL2	hifi_reads	m84053_241023_062247_s2.hifi_reads.bc2025
901	901	hifi_reads	m84053_230703_161700_s1.hifi_reads.bc2071
901	901	hifi_reads	m84053_230703_164807_s2.hifi_reads.bc2071
894	894	hifi_reads	m84053_230629_234400_s4.hifi_reads.bc2068
894	894	hifi_reads	m84053_230601_202536_s4.hifi_reads.bc2050
900	900	hifi_reads	m84053_230911_210354_s1.hifi_reads.bc2020
900	900	hifi_reads	m84053_230908_192836_s1.hifi_reads.bc2020
900	900	hifi_reads	m84139_231209_042722_s3.hifi_reads.bc2026
900	900	hifi_reads	m84139_231209_045828_s4.hifi_reads.bc2026
V4IC	V4IC	hifi_reads	m84053_241024_155201_s1.hifi_reads.bc2032
895	895	hifi_reads	m84053_230630_222948_s1.hifi_reads.bc2069
895	895	hifi_reads	m84053_230630_230054_s2.hifi_reads.bc2069
SY3L014	SY3L014	hifi_reads	m84053_241021_223024_s3.hifi_reads.bc2024
SY3L014	SY3L014	hifi_reads	m84053_241022_002940_s4.hifi_reads.bc2024
ASD6058	ASD6058	hifi_reads	m84053_241018_005823_s4.hifi_reads.bc2018
ASD6058	ASD6058	hifi_reads	m84053_241017_225904_s3.hifi_reads.bc2018
TSC7237	TSC7237	hifi_reads	m84053_241019_065131_s2.hifi_reads.bc2007
TSC7237	TSC7237	hifi_reads	m84053_241019_045220_s1.hifi_reads.bc2007
ASD6463	ASD6463	hifi_reads	m84053_241021_203102_s2.hifi_reads.bc2023
ASD6463	ASD6463	hifi_reads	m84053_241021_183130_s1.hifi_reads.bc2023
0068	0068	hifi_reads	m84053_241019_085051_s3.hifi_reads.bc2008
0068	0068	hifi_reads	m84053_241019_105019_s4.hifi_reads.bc2008
RG6P	RG6P	hifi_reads	m84053_241023_102132_s4.hifi_reads.bc2031
RG6P	RG6P	hifi_reads	m84053_241023_082205_s3.hifi_reads.bc2031
N22T	N22T	hifi_reads	m84053_241024_195036_s3.hifi_reads.bc2033
N22T	N22T	hifi_reads	m84053_241024_175117_s2.hifi_reads.bc2033
5619	5619	hifi_reads	m84053_230911_213500_s2.hifi_reads.bc2021
5619	5619	hifi_reads	m84053_230908_195942_s2.hifi_reads.bc2021
